,,MXWD,MXEF,MXWO,IBOV,VIX,TIPS
,,,,,,,
Fr,12/07/2019,530.48,1050.91,2212.65,103.906k,12.39,310.8472
Th,11/07/2019,529.18,1055.15,2205.35,105.146k,12.93,310.4067
We,10/07/2019,527.93,1048.95,2201.14,105.817k,13.03,311.1292
Tu,09/07/2019,525.96,1042.47,2193.65,,14.09,310.5445
Mo,08/07/2019,526.39,1046.25,2194.62,104.53k,13.96,310.5954
,,,,,,,
Fr,05/07/2019,529.51,1059.93,2205.57,104.09k,13.28,310.1334
Th,04/07/2019,531.82,1064.63,2215.17,103.636k,,
We,03/07/2019,531.14,1059.63,2213.35,102.043k,12.57,311.1108
Tu,02/07/2019,528.24,1063.64,2198.55,100.605k,12.93,310.5729
Mo,01/07/2019,526.93,1064.09,2192.24,101.34k,14.06,310.094
,,,,,,,
Fr,28/06/2019,523.44,1054.86,2178.35,100.967k,15.08,310.7373
Th,27/06/2019,520.93,1054.86,2166.48,100.724k,15.82,310.8209
We,26/06/2019,518.81,1047.91,2158.41,100.689k,16.21,310.1638
Tu,25/06/2019,519.78,1045.3,2163.73,100.093k,16.28,310.5355
Mo,24/06/2019,523.3,1053.06,2178.17,102.062k,15.26,310.9221
,,,,,,,
Fr,21/06/2019,523.31,1053.22,2178.16,102.013k,15.4,310.1219
Th,20/06/2019,524.44,1053.78,2183.36,,14.75,311.9717
We,19/06/2019,518.92,1038.27,2161.6,100.303k,14.33,309.87
Tu,18/06/2019,515.82,1023.91,2150.91,99404.39,15.15,308.2047
Mo,17/06/2019,510.81,1010.97,2130.86,97623.25,15.35,307.0125
,,,,,,,
Fr,14/06/2019,511.07,1015.08,2130.95,98040.06,15.28,307.0628
Th,13/06/2019,512.75,1022.08,2136.96,98773.7,15.82,308.1876
We,12/06/2019,512.46,1026.24,2134.42,98320.88,15.91,307.749
Tu,11/06/2019,513.91,1031.85,2139.74,98960,15.99,308.0363
Mo,10/06/2019,512.44,1022.03,2135.51,97466.69,15.94,308.1558
,,,,,,,
Fr,07/06/2019,509.76,1007.39,2126.88,97821.26,16.3,309.4755
Th,06/06/2019,504.67,1002.75,2104.18,97204.85,15.93,308.3195
We,05/06/2019,503.02,1004.68,2095.83,95998.75,16.09,308.8511
Tu,04/06/2019,499.21,1005.43,2077.66,97380.28,16.97,308.6894
Mo,03/06/2019,492.47,1008.34,2045.06,97020.48,18.86,309.4235
,,,,,,,
Fr,31/05/2019,492.12,998,2046.25,97030.32,18.71,308.0956
Th,30/05/2019,496.22,994.93,2066.48,97457.36,17.3,306.1984
We,29/05/2019,495.31,985.44,2064.8,96566.55,17.9,306.0523
Tu,28/05/2019,499.66,988.16,2084.57,96392.76,17.5,304.9329
Mo,27/05/2019,502.24,989.15,2096.43,94864.25,,
,,,,,,,
Fr,24/05/2019,501.8,986.65,2095.03,93627.8,15.85,304.2444
Th,23/05/2019,500.09,984.81,2087.46,93910.03,16.92,304.463
We,22/05/2019,506.01,998,2111.78,94360.66,14.75,303.4257
Tu,21/05/2019,507.32,998.97,2117.66,94484.63,14.95,303.484
Mo,20/05/2019,504.27,994.08,2104.64,91946.19,16.31,303.3388
,,,,,,,
Fr,17/05/2019,506.93,996.39,2116.51,89992.73,15.96,303.6567
Th,16/05/2019,509.79,1011.15,2126.06,90024.47,15.29,303.8996
We,15/05/2019,506.73,1015.97,2110.4,91623.44,16.44,304.2979
Tu,14/05/2019,504.17,1014.48,2098.76,92092.44,18.06,303.7698
Mo,13/05/2019,501.66,1016.49,2086.46,91726.54,20.55,303.7144
,,,,,,,
Fr,10/05/2019,511.11,1033.44,2126.32,94257.56,16.04,302.8843
Th,09/05/2019,509.33,1028.4,2119.31,94807.85,19.1,302.3739
We,08/05/2019,513.29,1050.94,2131.9,95596.61,19.4,301.8809
Tu,07/05/2019,514.4,1057.05,2135.49,94388.73,19.32,302.7607
Mo,06/05/2019,521.35,1062.64,2166.66,95008.66,15.44,302.5149
,,,,,,,
Fr,03/05/2019,524.85,1082.77,2177.77,96007.89,12.87,301.7988
Th,02/05/2019,521.09,1078.95,2161.11,95527.62,14.42,300.9232
We,01/05/2019,523.07,1080.48,2170.03,,14.8,302.7854
Tu,30/04/2019,524.84,1079.24,2178.67,96353.33,13.12,303.0878
Mo,29/04/2019,524.39,1082.91,2175.59,96187.75,13.11,302.6395
,,,,,,,
Fr,26/04/2019,523.74,1078.06,2173.82,96236.04,12.73,303.261
Th,25/04/2019,521.87,1076.71,2165.36,96552.03,13.25,302.7871
We,24/04/2019,523.04,1084.52,2168.81,95045.43,13.14,302.6678
Tu,23/04/2019,524.53,1089.76,2174.39,95923.24,12.28,301.5971
Mo,22/04/2019,521.76,1089.03,2161.58,94588.06,12.42,301.0173
,,,,,,,
Fr,19/04/2019,521.69,1092.52,2160.36,,,
Th,18/04/2019,521.66,1092.52,2160.21,94578.26,12.09,301.3086
We,17/04/2019,522.04,1096.39,2160.94,93284.75,12.6,300.4611
Tu,16/04/2019,522.33,1093.55,2163.08,94333.31,12.18,300.5443
Mo,15/04/2019,521.51,1086.22,2161.14,93082.97,12.32,301.1885
,,,,,,,
Fr,12/04/2019,521.29,1089.09,2159.39,92875,12.01,301.0791
Th,11/04/2019,518.7,1087.49,2147.61,94754.7,13.02,301.5616
We,10/04/2019,519.26,1096.05,2147.99,95953.45,13.3,302.2021
Tu,09/04/2019,518.09,1093.44,2143.2,96291.79,14.28,301.3018
Mo,08/04/2019,519.88,1088.5,2152.9,97369.29,13.18,300.9052
,,,,,,,
Fr,05/04/2019,519.04,1085.14,2149.85,97108.17,12.82,301.0188
Th,04/04/2019,517.28,1080.73,2142.75,96313.06,13.58,300.7734
We,03/04/2019,517.28,1079.8,2143.02,94491.48,13.74,300.6873
Tu,02/04/2019,514.39,1071.14,2131.71,95386.76,13.36,301.3942
Mo,01/04/2019,514.35,1070.09,2131.79,96054.45,13.4,301.1615
,,,,,,,
Fr,29/03/2019,508.55,1058.13,2107.74,95414.55,13.71,302.0836
Th,28/03/2019,505.14,1045.21,2095.18,94388.94,14.43,301.6221
We,27/03/2019,504.83,1044.1,2094.02,91903.4,15.15,301.8838
Tu,26/03/2019,507.02,1050.45,2102.62,95306.82,14.68,301.714
Mo,25/03/2019,503.56,1047.71,2087.06,93662.01,16.33,302.1541
,,,,,,,
Fr,22/03/2019,505.88,1059.63,2094.81,93735.15,16.48,301.8412
Th,21/03/2019,513.5,1069.68,2127.93,96729.08,13.63,301.0756
We,20/03/2019,510.05,1068.47,2112.05,98041.37,13.91,301.1346
Tu,19/03/2019,511.97,1070.95,2120.44,99588.37,13.56,299.1753
Mo,18/03/2019,511.36,1069.26,2117.99,99993.92,13.1,299.5927
,,,,,,,
Fr,15/03/2019,508.72,1057.3,2108.78,99136.74,12.88,299.2526
Th,14/03/2019,505.56,1048.2,2096.32,98604.67,13.5,298.5508
We,13/03/2019,505.54,1050.46,2095.67,98903.88,13.41,298.4511
Tu,12/03/2019,502.99,1051.52,2083.38,97828.03,13.77,298.1992
Mo,11/03/2019,500.55,1041.15,2074.66,98026.62,14.33,297.5673
,,,,,,,
Fr,08/03/2019,494.91,1030.13,2051.12,95364.85,16.05,297.6679
Th,07/03/2019,497.86,1043.56,2061.41,94340.17,16.59,297.4733
We,06/03/2019,502.22,1055.68,2078.69,94216.87,15.74,296.4716
Tu,05/03/2019,504.07,1055.12,2087.5,,14.74,296.1526
Mo,04/03/2019,504.6,1053.62,2090.4,,14.63,296.3997
,,,,,,,
Fr,01/03/2019,505.75,1051.54,2096.35,94603.75,13.57,295.905
Th,28/02/2019,503.48,1050.95,2085.84,95584.35,14.78,296.6312
We,27/02/2019,505.4,1061.26,2092.12,97307.31,14.7,296.7761
Tu,26/02/2019,505.51,1064.94,2091.7,97602.5,15.17,297.7256
Mo,25/02/2019,505.69,1067.64,2091.83,97239.9,14.85,297.1162
,,,,,,,
Fr,22/02/2019,504.15,1058.65,2086.97,97885.6,13.51,297.4693
Th,21/02/2019,501.69,1050.99,2077.44,96932.27,14.46,296.5686
We,20/02/2019,502.92,1049.32,2083.64,96544.81,14.02,297.0148
Tu,19/02/2019,500.58,1036.97,2075.91,97659.15,14.88,296.9154
Mo,18/02/2019,499.87,1036.73,2072.62,96509.89,,
,,,,,,,
Fr,15/02/2019,498.24,1030.64,2066.59,97525.91,14.91,296.3881
Th,14/02/2019,494.66,1039.19,2047.56,98015.09,16.22,296.2359
We,13/02/2019,495.92,1041.84,2052.76,95842.4,15.65,295.4706
Tu,12/02/2019,494.3,1042.13,2045.12,96168.4,15.43,295.377
Mo,11/02/2019,488.91,1035.41,2021.6,94412.91,15.97,295.54
,,,,,,,
Fr,08/02/2019,488.72,1036.03,2020.53,95343.1,15.72,296.223
Th,07/02/2019,490.42,1041.97,2026.94,94405.59,16.37,295.9496
We,06/02/2019,495.08,1048.46,2047.11,94635.57,15.38,295.6143
Tu,05/02/2019,496.18,1051.9,2051.36,98311.2,15.57,295.5913
Mo,04/02/2019,493.06,1048.05,2037.76,98588.63,15.73,295.3427
,,,,,,,
Fr,01/02/2019,491.43,1050.2,2029.55,97861.27,16.14,296.0965
Th,31/01/2019,491.19,1049.93,2028.49,97393.74,16.57,296.6699
We,30/01/2019,486.71,1036.63,2010.96,96996.21,17.66,294.9869
Tu,29/01/2019,481.77,1029.75,1989.6,95639.33,19.13,293.5472
Mo,28/01/2019,481.59,1028.06,1989.18,95443.88,18.87,292.8997
,,,,,,,
Fr,25/01/2019,484.53,1032.34,2001.86,,17.42,293.1857
Th,24/01/2019,479.84,1019.44,1983.23,97677.19,18.89,293.6204
We,23/01/2019,478.74,1011.56,1980.15,96558.42,19.52,293.2059
Tu,22/01/2019,478.41,1010.63,1978.83,95103.38,20.8,293.6113
Mo,21/01/2019,483.52,1018.45,2000.77,96009.77,,
,,,,,,,
Fr,18/01/2019,483.5,1018,2000.76,96096.75,17.8,293.2753
Th,17/01/2019,477.63,1008.99,1975.61,95351.09,18.06,293.6919
We,16/01/2019,475.71,1009.39,1966.5,94393.07,19.04,293.8172
Tu,15/01/2019,474.86,1005.11,1963.61,94055.72,18.6,293.8689
Mo,14/01/2019,470.87,992.71,1948.16,94474.13,19.07,294.1814
,,,,,,,
Fr,11/01/2019,473.26,1001.11,1957.17,93658.31,18.19,294.7489
Th,10/01/2019,473.23,998.67,1957.69,93805.93,19.5,293.8869
We,09/01/2019,471.57,994.41,1950.99,93613.04,19.98,294.4087
Tu,08/01/2019,467.27,975.51,1935.79,92031.86,20.47,294.3976
Mo,07/01/2019,463.99,977.96,1919.75,91699.05,21.4,294.1469
,,,,,,,
Fr,04/01/2019,459.94,964.97,1904.18,91840.79,21.38,294.2221
Th,03/01/2019,448.21,949.57,1853.18,91564.25,25.45,295.0105
We,02/01/2019,454.52,955.78,1881.15,91012.31,23.22,292.8972
Tu,01/01/2019,455.68,966.04,1883.93,,,
Mo,31/12/2018,455.66,965.78,1883.9,,25.42,292.7317
,,,,,,,
Fr,28/12/2018,452.69,962.63,1870.8,87887.26,28.34,292.1983
Th,27/12/2018,450.32,952.33,1862.38,85460.2,29.96,292.1608
We,26/12/2018,447.71,950.15,1850.7,85136.1,30.41,291.9176
Tu,25/12/2018,435.9,950.27,1795.28,,,
Mo,24/12/2018,437.68,952.84,1802.95,,36.07,292.3164
,,,,,,,
Fr,21/12/2018,444.76,957.33,1834.97,85697.15,30.11,291.9546
Th,20/12/2018,450.83,959.79,1862.82,85269.29,28.38,291.9481
We,19/12/2018,457.65,967.65,1892.71,85673.52,25.58,293.1406
Tu,18/12/2018,460.68,962.98,1908.16,86610.49,25.58,292.2069
Mo,17/12/2018,462.27,967.82,1914.33,86399.68,24.52,291.4007
,,,,,,,
Fr,14/12/2018,468.51,971.9,1942.55,87449.5,21.63,291.0324
Th,13/12/2018,476.07,985.52,1974.41,87837.59,20.65,290.8401
We,12/12/2018,476.01,978.9,1975.88,86977.46,21.46,290.7743
Tu,11/12/2018,470.7,964.8,1954.65,86419.57,21.76,291.1361
Mo,10/12/2018,470.2,962.79,1952.83,85914.71,22.64,292.2875
,,,,,,,
Fr,07/12/2018,473.88,981.37,1965.24,88115.07,23.23,292.9849
Th,06/12/2018,479.2,978.93,1990.85,88846.48,21.19,292.6677
We,05/12/2018,484.28,1001.91,2008.63,89039.79,,
Tu,04/12/2018,486.73,1014.25,2016.89,88624.45,20.74,292.4592
Mo,03/12/2018,497.48,1016.87,2066.62,89820.09,16.44,291.4472
,,,,,,,
Fr,30/11/2018,490.86,994.72,2041.36,89504.03,18.07,291.1407
Th,29/11/2018,489.66,998.05,2034.89,89709.56,18.79,290.7844
We,28/11/2018,488.22,991.67,2029.78,89250.82,18.49,289.8011
Tu,27/11/2018,481.24,980.16,2000.07,87891.18,19.02,289.1769
Mo,26/11/2018,480.85,976.57,1999.21,85546.51,18.9,289.8846
,,,,,,,
Fr,23/11/2018,475.3,969.17,1975.09,86230.22,21.52,290.1381
Th,22/11/2018,477.58,975.99,1984.03,87477.44,,
We,21/11/2018,477.68,975.04,1984.73,87268.8,20.8,290.5701
Tu,20/11/2018,475.87,972.58,1976.91,,22.48,290.8429
Mo,19/11/2018,483.72,988.31,2009.61,87900.83,20.1,291.112
,,,,,,,
Fr,16/11/2018,488.34,986.3,2031.76,88515.27,18.14,291.2633
Th,15/11/2018,486.87,980.85,2026.3,,19.98,289.8769
We,14/11/2018,483.79,968.14,2015.14,85973.06,21.25,289.8595
Tu,13/11/2018,486.1,966.02,2026.52,84914.11,20.02,289.7037
Mo,12/11/2018,486.57,966.41,2028.62,85524.7,20.45,
,,,,,,,
Fr,09/11/2018,494.48,976.17,2063.16,85641.21,17.36,289.2375
Th,08/11/2018,499.57,993.53,2082.47,85620.13,16.72,288.8967
We,07/11/2018,500.23,997.92,2084.45,87714.35,16.36,289.2056
Tu,06/11/2018,492.7,992.27,2050.65,88668.92,19.91,289.1945
Mo,05/11/2018,490.58,992.38,2040.68,89598.16,19.96,289.1822
,,,,,,,
Fr,02/11/2018,489.97,996.72,2036.7,,19.51,288.4757
Th,01/11/2018,489.48,971.44,2040.93,88419.05,19.34,289.3517
We,31/10/2018,484.57,955.92,2021.98,87423.55,21.23,289.7565
Tu,30/10/2018,478.19,936.3,1997.19,86885.71,23.35,290.5647
Mo,29/10/2018,473.52,934.8,1975.7,83796.71,24.7,291.2837
,,,,,,,
Fr,26/10/2018,475.11,939.55,1981.89,85719.87,24.16,291.5176
Th,25/10/2018,480.83,948.96,2006.27,84083.51,24.22,290.0752
We,24/10/2018,477.29,953.05,1988.62,83063.56,25.23,290.7578
Tu,23/10/2018,487.37,960.54,2033.89,85300.03,20.71,290.3854
Mo,22/10/2018,492.78,982.86,2053.44,85596.69,19.64,290.2337
,,,,,,,
Fr,19/10/2018,494.05,971.47,2062.34,84219.74,19.89,290.2489
Th,18/10/2018,494.47,970.9,2064.48,83847.12,20.06,290.6976
We,17/10/2018,500.52,983.71,2089.5,85763.95,17.4,291.0477
Tu,16/10/2018,500.94,984.66,2091.21,85717.56,17.62,291.5018
Mo,15/10/2018,492.52,971.67,2055.11,83359.76,21.3,291.4098
,,,,,,,
Fr,12/10/2018,494.76,980.09,2063.44,,21.31,291.6192
Th,11/10/2018,489.4,954.66,2044.95,82921.08,24.98,291.7292
We,10/10/2018,500.55,985.67,2089.09,83679.11,22.96,290.8747
Tu,09/10/2018,511.54,993.99,2138.46,86087.55,15.95,291.4435
Mo,08/10/2018,512.72,995.5,2143.57,86083.91,15.69,
,,,,,,,
Fr,05/10/2018,514.69,1000.76,2151.42,82321.52,14.82,290.939
Th,04/10/2018,518.21,1010.38,2165.43,82952.81,14.22,291.5249
We,03/10/2018,523.46,1035.03,2183.63,83273.4,11.61,292.3841
Tu,02/10/2018,523.36,1033.3,2183.62,81612.28,12.05,293.8211
Mo,01/10/2018,525.06,1046.4,2188.19,78623.66,12,293.4826
,,,,,,,
Fr,28/09/2018,524.25,1047.91,2184.01,79342.42,12.12,293.97
Th,27/09/2018,525.44,1051.3,2188.71,80000.09,12.41,294.1695
We,26/09/2018,525.28,1046.02,2189.31,78656.16,12.89,294.2014
Tu,25/09/2018,526.09,1041.78,2194.2,78630.14,12.42,293.4983
Mo,24/09/2018,525.87,1042.35,2193.01,77984.18,12.2,293.9066
,,,,,,,
Fr,21/09/2018,527.86,1051.44,2200.01,79444.29,11.68,293.9274
Th,20/09/2018,526.14,1036.93,2195.68,78116.01,11.8,293.6303
We,19/09/2018,521.98,1031.07,2177.74,78168.66,11.75,293.3697
Tu,18/09/2018,520.19,1019.74,2172.27,78313.96,12.79,293.7981
Mo,17/09/2018,517.5,1016.43,2160.53,76788.85,13.68,294.3014
,,,,,,,
Fr,14/09/2018,519.46,1028.53,2166.59,75429.09,12.07,294.5017
Th,13/09/2018,518.02,1017.64,2162.68,74686.67,12.37,295.0209
We,12/09/2018,515.17,1004.56,2152.7,75124.81,13.14,295.4984
Tu,11/09/2018,514.03,1003.33,2147.67,74656.51,13.22,295.0951
Mo,10/09/2018,513.39,1011.25,2142.64,76436.35,14.16,295.5946
,,,,,,,
Fr,07/09/2018,512.97,1022.98,2137.6,,14.88,295.5304
Th,06/09/2018,514.08,1018.29,2144.03,76416.01,14.65,296.3906
We,05/09/2018,516.13,1021.72,2152.77,75092.27,13.91,296.2027
Tu,04/09/2018,519.3,1040.17,2162.83,74711.8,13.16,296.2718
Mo,03/09/2018,521.95,1047.13,2173.42,76192.73,,297.0987
,,,,,,,
Fr,31/08/2018,522.88,1055.96,2175.5,76677.53,12.86,297.0987
Th,30/08/2018,524.28,1057.84,2181.56,76404.09,13.53,297.2857
We,29/08/2018,526.94,1070.53,2190.75,78388.83,12.25,296.9425
Tu,28/08/2018,525.18,1070.62,2182.51,77473.18,12.5,296.8099
Mo,27/08/2018,524.56,1069.14,2179.95,77929.68,12.16,297.5003
,,,,,,,
Fr,24/08/2018,519.6,1050.19,2161.61,76262.23,11.99,297.6228
Th,23/08/2018,516.84,1048.2,2149.22,75633.77,12.41,297.6607
We,22/08/2018,518.42,1050.61,2155.99,76902.3,12.25,297.3751
Tu,21/08/2018,517.17,1044.31,2151.79,75180.4,12.86,296.8544
Mo,20/08/2018,515.19,1033.65,2145.24,76327.89,12.49,297.1085
,,,,,,,
Fr,17/08/2018,513.08,1022.94,2138.11,76028.5,12.64,296.1541
Th,16/08/2018,511.5,1021.57,2131.05,76818.72,13.45,296.2274
We,15/08/2018,508.32,1023.43,2115.7,77077.99,14.64,296.4574
Tu,14/08/2018,513.99,1042.56,2137.36,78602.11,13.31,295.8277
Mo,13/08/2018,511.92,1043.3,2127.47,77496.45,14.78,296.2971
,,,,,,,
Fr,10/08/2018,515.61,1062.37,2139.84,76514.35,13.16,296.6292
Th,09/08/2018,521.6,1078.67,2163.69,78767.99,11.27,295.1724
We,08/08/2018,522.18,1079.73,2166.15,79151.7,10.85,294.6508
Tu,07/08/2018,522.34,1079.79,2166.85,80346.52,10.93,294.7462
Mo,06/08/2018,519.82,1071,2157.34,81050.76,11.27,295.1946
,,,,,,,
Fr,03/08/2018,519.53,1073.33,2155.39,81434.98,11.64,295.0492
Th,02/08/2018,517.54,1067.42,2147.58,79636.69,12.19,294.4852
We,01/08/2018,518.99,1086.87,2149.36,79301.65,13.15,294.2386
Tu,31/07/2018,519.82,1087.46,2153.1,79220.43,12.83,294.9741
Mo,30/07/2018,518.93,1090.14,2148.25,80275.59,14.26,294.7189
,,,,,,,
Fr,27/07/2018,520.73,1092.36,2156.11,79866.1,13.03,294.6152
Th,26/07/2018,521.8,1089.17,2161.93,79405.34,12.14,294.3935
We,25/07/2018,521.74,1088.82,2161.76,80218.04,12.29,295.1092
Tu,24/07/2018,519,1080.38,2151.08,79154.98,12.41,294.5336
Mo,23/07/2018,515.92,1069.52,2139.44,77996.12,12.62,294.2841
,,,,,,,
Fr,20/07/2018,515.89,1070.07,2139.17,78571.29,12.86,295.6981
Th,19/07/2018,514.45,1060.65,2134.84,77486.84,12.87,296.3924
We,18/07/2018,516.47,1068.75,2142.24,77362.63,12.1,296.0361
Tu,17/07/2018,515.72,1070.91,2138.15,78130.3,12.06,296.444
Mo,16/07/2018,514.53,1070.24,2132.79,76652.58,12.83,296.7112
,,,,,,,
Fr,13/07/2018,515.22,1075.64,2134.6,76594.35,12.18,297.5364
Th,12/07/2018,514.12,1070.24,2130.86,75856.22,12.58,296.9067
We,11/07/2018,510.92,1064.72,2117.3,74398.55,13.63,297.2534
Tu,10/07/2018,515.52,1076.19,2135.87,74862.38,12.64,296.9039
Mo,09/07/2018,514.48,1075.74,2131.14,,12.69,297.2945
,,,,,,,
Fr,06/07/2018,509.9,1059.97,2113.74,75010.39,13.37,297.6797
Th,05/07/2018,505.84,1054.35,2096.19,74553.06,14.97,297.4212
We,04/07/2018,502.94,1056.07,2082.17,74743.11,,
Tu,03/07/2018,503,1057.7,2082.05,73667.75,16.14,297.1353
Mo,02/07/2018,503.1,1059.32,2082.08,72839.74,15.6,296.7367
,,,,,,,
Fr,29/06/2018,505.2,1069.52,2089.3,72762.51,16.09,296.4002
Th,28/06/2018,501.88,1046.71,2079.62,71766.52,16.85,296.2784
We,27/06/2018,501.47,1052.12,2076.3,70609,17.91,296.7091
Tu,26/06/2018,504.91,1067.75,2088.41,71404.59,15.92,295.6808
Mo,25/06/2018,504.49,1071.06,2085.59,70952.97,17.33,295.4632
,,,,,,,
Fr,22/06/2018,511.68,1088,2114.9,70640.65,13.77,295.1658
Th,21/06/2018,509.34,1080.19,2105.93,70074.9,14.64,294.8349
We,20/06/2018,512.58,1093.26,2117.76,72123.41,12.79,294.3914
Tu,19/06/2018,510.78,1085.03,2111.44,71394.34,13.35,295.065
Mo,18/06/2018,514.99,1105.98,2125.79,69814.73,12.31,294.5623
,,,,,,,
Fr,15/06/2018,517.21,1113.76,2134.15,70757.73,11.98,294.3362
Th,14/06/2018,519.54,1125.71,2142.02,71421.2,12.12,294.0315
We,13/06/2018,519.7,1135.68,2140.2,72122.13,12.94,293.5177
Tu,12/06/2018,521.07,1140.64,2145.36,72754.13,12.34,293.7756
Mo,11/06/2018,520.76,1139.46,2144.2,72307.77,12.35,293.8
,,,,,,,
Fr,08/06/2018,519.15,1135.39,2137.74,72942.07,12.18,293.9005
Th,07/06/2018,519.9,1149.68,2137.57,73851.47,12.13,294.2276
We,06/06/2018,519.75,1150.17,2136.74,76117.23,11.64,293.4619
Tu,05/06/2018,515.72,1144.44,2119.36,76641.73,12.4,294.1826
Mo,04/06/2018,516.38,1146.74,2121.86,78596.06,12.74,293.7773
,,,,,,,
Fr,01/06/2018,512.77,1130.22,2109.19,77239.75,13.46,294.1224
Th,31/05/2018,508.77,1120.71,2092.92,,15.43,295.2159
We,30/05/2018,509.96,1112.75,2100.42,76753.62,14.94,294.4319
Tu,29/05/2018,506.99,1126.25,2083.27,76071.98,17.02,295.3987
Mo,28/05/2018,512.68,1137,2107.14,75355.84,,
,,,,,,,
Fr,25/05/2018,513.45,1136.62,2110.8,78897.66,13.22,293.0087
Th,24/05/2018,514.86,1135.06,2117.73,80122.31,12.53,292.7605
We,23/05/2018,515.86,1133.1,2122.9,80867.29,12.58,292.6644
Tu,22/05/2018,517.6,1142.05,2128.78,82738.88,13.22,291.7568
Mo,21/05/2018,517.72,1136.49,2130.72,81815.31,13.08,291.8135
,,,,,,,
Fr,18/05/2018,515.66,1137.75,2120.8,83081.88,13.42,291.5478
Th,17/05/2018,517.01,1144.07,2125.56,83621.95,13.43,291.0864
We,16/05/2018,517.04,1155.1,2122.97,86536.97,13.42,291.6024
Tu,15/05/2018,516.14,1150.27,2119.98,85130.42,14.63,291.7343
Mo,14/05/2018,520.58,1168.9,2136.09,85232.19,12.93,292.8321
,,,,,,,
Fr,11/05/2018,519.46,1164.49,2131.96,85220.23,12.65,293.3121
Th,10/05/2018,517.23,1156.55,2123.53,85861.2,13.23,293.3783
We,09/05/2018,513.62,1143.76,2109.84,84265.49,13.42,293.0525
Tu,08/05/2018,510.39,1142.66,2095.07,82956.05,14.71,293.1596
Mo,07/05/2018,510.61,1139.55,2096.86,82714.42,14.75,293.6847
,,,,,,,
Fr,04/05/2018,508.83,1136.17,2089.44,83118.03,14.77,293.4902
Th,03/05/2018,505.04,1137.85,2071.37,83288.14,15.9,293.432
We,02/05/2018,506.9,1151.44,2076.69,84547.09,15.97,293.2938
Tu,01/05/2018,509,1162.48,2083.77,,15.49,292.8131
Mo,30/04/2018,509.69,1164.43,2086.51,86115.5,15.93,293.9627
,,,,,,,
Fr,27/04/2018,511.31,1156.3,2096.05,86444.66,15.41,293.2098
Th,26/04/2018,509.91,1144.34,2092.44,86383.2,16.24,292.4133
We,25/04/2018,506.32,1140.27,2076.74,85044.39,17.84,291.7258
Tu,24/04/2018,508.08,1154.21,2081.52,85469.08,18.02,292.2917
Mo,23/04/2018,511.67,1158.26,2097.22,85602.5,16.34,292.91
,,,,,,,
Fr,20/04/2018,512.74,1168.24,2099.74,85550.09,16.88,293.015
Th,19/04/2018,517.05,1184.13,2115.93,85824.26,15.96,293.9072
We,18/04/2018,518.32,1176.14,2123.77,85776.46,15.6,294.5547
Tu,17/04/2018,516.12,1164.36,2116.43,84086.13,15.25,295.092
Mo,16/04/2018,512.49,1163.25,2099.82,82861.58,16.56,294.4717
,,,,,,,
Fr,13/04/2018,510.52,1170.09,2088.98,84334.41,17.41,294.5788
Th,12/04/2018,511.29,1176.88,2090.9,85443.53,18.49,294.3125
We,11/04/2018,509.43,1175.53,2082.57,85245.59,20.24,294.6953
Tu,10/04/2018,511.04,1175.32,2090.11,84510.36,20.47,294.0852
Mo,09/04/2018,504.18,1163.07,2061.19,83307.23,21.77,294.0672
,,,,,,,
Fr,06/04/2018,502.32,1161.97,2052.78,84820.42,21.49,293.9471
Th,05/04/2018,508.55,1166.48,2080.69,85209.66,18.94,293.0528
We,04/04/2018,503.82,1155.64,2061.31,84359.69,20.06,293.9152
Tu,03/04/2018,501.89,1170.15,2048.8,84623.46,21.1,293.8759
Mo,02/04/2018,499.65,1169.43,2038.54,84666.44,23.62,294.2785
,,,,,,,
Fr,30/03/2018,505.81,1170.88,2066.84,,,294.1315
Th,29/03/2018,505.44,1169.27,2065.53,85365.56,19.97,294.1315
We,28/03/2018,501.27,1162.67,2047.75,83874.13,22.87,293.3602
Tu,27/03/2018,504.13,1185.18,2055.55,83808.05,22.5,293.3049
Mo,26/03/2018,506.9,1182.28,2069.13,85087.86,21.03,292.4613
,,,,,,,
Fr,23/03/2018,499.36,1172.1,2036.55,84377.2,24.87,292.4187
Th,22/03/2018,508.48,1196.73,2072.94,84767.88,23.34,292.433
We,21/03/2018,516.95,1209.62,2109.18,84976.59,17.86,291.1488
Tu,20/03/2018,517.33,1209.89,2110.91,84163.8,18.2,291.2791
Mo,19/03/2018,516.89,1203.59,2110.4,83913.06,19.02,291.8759
,,,,,,,
Fr,16/03/2018,522.47,1213.14,2134.05,84886.48,15.8,291.7184
Th,15/03/2018,522.49,1216.24,2133.35,84928.2,16.59,292.2159
We,14/03/2018,522.87,1218.7,2134.51,86050.96,17.23,292.2313
Tu,13/03/2018,525.31,1223.83,2144.6,86383.84,16.35,291.6552
Mo,12/03/2018,527.29,1222.2,2154.26,86900.43,15.78,291.4668
,,,,,,,
Fr,09/03/2018,525.44,1207.23,2149.32,86371.41,14.64,291.181
Th,08/03/2018,519.65,1195.24,2125.28,84984.61,16.54,291.6384
We,07/03/2018,517.33,1189.2,2115.98,85483.55,17.76,291.3088
Tu,06/03/2018,517.96,1193.93,2117.77,85653.02,18.36,291.541
Mo,05/03/2018,514.62,1176.12,2106.58,86022.83,18.73,291.5735
,,,,,,,
Fr,02/03/2018,511.34,1182.06,2089.84,85761.34,19.59,291.7389
