Date,Open,High,Low,Close
07/03/2025,"2,232.30","2,249.04","2,232.30","2,249.04"
07/02/2025,"2,199.66","2,226.79","2,194.26","2,226.38"
07/01/2025,"2,165.63","2,218.59","2,160.63","2,197.54"
06/30/2025,"2,177.82","2,182.37","2,173.20","2,175.04"
06/27/2025,"2,176.74","2,189.18","2,159.80","2,172.53"
06/26/2025,"2,141.47","2,172.13","2,141.47","2,172.11"
06/25/2025,"2,163.01","2,163.67","2,135.96","2,136.19"
06/24/2025,"2,144.96","2,164.90","2,142.74","2,161.21"
06/23/2025,"2,105.52","2,133.36","2,088.07","2,132.68"
06/20/2025,"2,123.40","2,127.55","2,103.32","2,109.27"
06/18/2025,"2,101.36","2,127.67","2,100.44","2,112.96"
06/17/2025,"2,113.86","2,120.38","2,101.59","2,101.96"
06/16/2025,"2,115.07","2,134.71","2,115.07","2,124.13"
06/13/2025,"2,120.23","2,125.08","2,095.65","2,100.51"
06/12/2025,"2,142.28","2,142.88","2,131.07","2,140.09"
06/11/2025,"2,163.55","2,170.49","2,146.92","2,148.23"
06/10/2025,"2,150.74","2,164.47","2,150.74","2,156.41"
06/09/2025,"2,144.16","2,154.39","2,139.06","2,144.45"
06/06/2025,"2,115.21","2,132.35","2,115.21","2,132.25"
06/05/2025,"2,099.56","2,110.08","2,086.79","2,097.35"
06/04/2025,"2,103.28","2,110.22","2,096.73","2,098.48"
06/03/2025,"2,074.03","2,107.39","2,070.86","2,102.98"
06/02/2025,"2,066.50","2,070.54","2,043.60","2,070.16"
05/30/2025,"2,067.33","2,074.74","2,051.12","2,066.29"
05/29/2025,"2,077.67","2,081.52","2,061.02","2,074.78"
05/28/2025,"2,089.91","2,092.39","2,066.44","2,067.80"
05/27/2025,"2,059.18","2,090.56","2,058.20","2,090.40"
05/23/2025,"2,014.11","2,044.89","2,011.20","2,039.85"
05/22/2025,"2,042.03","2,057.01","2,032.40","2,045.56"
05/21/2025,"2,084.11","2,087.07","2,043.18","2,046.56"
05/20/2025,"2,101.38","2,111.19","2,095.55","2,105.58"
05/19/2025,"2,082.20","2,104.54","2,081.48","2,104.43"
05/16/2025,"2,096.02","2,114.95","2,094.35","2,113.25"
05/15/2025,"2,077.40","2,094.97","2,069.34","2,094.69"
05/14/2025,"2,096.46","2,099.34","2,082.81","2,083.80"
05/13/2025,"2,101.55","2,109.95","2,095.24","2,102.35"
05/12/2025,"2,086.81","2,104.71","2,076.91","2,092.20"
05/09/2025,"2,031.13","2,037.31","2,016.29","2,023.07"
05/08/2025,"2,009.73","2,040.46","2,000.12","2,026.42"
05/07/2025,"1,993.73","1,998.79","1,977.61","1,989.66"
05/06/2025,"1,984.70","1,998.32","1,976.86","1,983.19"
05/05/2025,"2,003.98","2,020.09","2,000.29","2,004.26"
